Gene	Observed	Predicted	Residual
CKAP2L	1.419892	1.683036	-0.263144
CKB	0.82041	1.127707	-0.307297
CKS1B	1.711214	2.251578	-0.540363
CLCN7	1.483351	1.627148	-0.143797
CLEC17A	1.931477	1.5037	0.427777
CLIC4	2.404626	2.40117	0.003456
CLIP2	1.645728	1.28984	0.355888
CLSPN	1.167441	1.20079	-0.033349
CMC1	1.586375	1.307762	0.278613
CNFN	0.572702	0.787651	-0.214949
COL9A3	1.233448	1.277281	-0.043834
CORO1B	1.67149	1.809926	-0.138436
CPM	1.490966	1.35428	0.136686
CPNE2	0.77007	0.865475	-0.095405
CPSF3	1.897426	1.749497	0.147928
CPXM1	1.291129	1.522685	-0.231556
CR2	2.559573	1.558905	1.000668
CREB3L2	0.559412	0.824958	-0.265546
CRHBP	1.061556	0.809795	0.251761
CRNDE	0.936915	1.051674	-0.114759
CSE1L	1.87592	2.431892	-0.555972
CSF2RB	1.904995	1.492718	0.412277
CSRP1	1.758487	1.577787	0.1807
CTC1	1.217275	1.48067	-0.263394
CTPS1	1.580515	1.805642	-0.225127
CTSH	2.636001	1.940233	0.695768
CTSS	1.928468	1.580572	0.347896
CTTN	1.197707	1.336091	-0.138384
CUX1	1.981809	1.60388	0.377929
CYS1	1.124376	1.347926	-0.223551
DARS2	1.506838	1.717624	-0.210786
DDX60L	0.450822	0.824655	-0.373834
DEF6	1.782369	1.663951	0.118418
DEF8	2.764757	1.807391	0.957366
DENND6B	1.438912	1.419986	0.018926
DEPDC1B	1.580737	1.268311	0.312426
DEPDC5	1.479276	1.56761	-0.088334
DGAT1	1.185527	0.913024	0.272503
DLGAP5	1.784673	1.313945	0.470728
DMXL2	0.846262	1.053306	-0.207044
DNMBP	1.412205	1.185391	0.226814
DNMT1	2.370663	2.719557	-0.348895
DNMT3B	0.780627	1.496358	-0.715731
DOCK9	1.325368	1.630226	-0.304858
DPEP2	1.137836	1.452335	-0.314499
DPYD	0.735995	1.089916	-0.35392
DSCC1	1.367877	1.49016	-0.122284
DSE	0.80731	0.819889	-0.012578
DSTN	2.088948	1.349482	0.739466
DTYMK	1.823402	1.640456	0.182946
DUSP2	2.356016	1.468268	0.887748
EBF1	1.760712	2.308679	-0.547966
ECEL1	0.769541	0.508606	0.260934
EDEM1	2.331935	2.848352	-0.516417
EEPD1	1.173075	1.517677	-0.344601
EFNB2	0.676098	0.672127	0.003971
EHD1	2.44872	1.92328	0.525441
EHMT1	2.038343	2.090175	-0.051833
ELL3	2.73277	2.302679	0.430091
ELP6	1.790462	1.448487	0.341975
EMC9	1.511693	2.164481	-0.652788
EML4	1.48013	1.193601	0.286529
EML6	2.079995	1.310199	0.769796
ENG	0.772008	1.228806	-0.456797
ENO2	2.030503	1.400524	0.629979
EPB41L2	1.16806	0.711118	0.456942
EPSTI1	1.363878	0.994301	0.369577
ERI1	1.439565	1.684559	-0.244994
ETFRF1	0.826745	1.273491	-0.446747
ETHE1	0.994045	1.091983	-0.097938
EYA3	1.874666	2.206059	-0.331393
FAM111B	1.716916	1.658834	0.058082
FAM177B	0.429581	1.197976	-0.768395
FAM184A	1.075087	1.069511	0.005576
FAM72A	1.012587	1.476116	-0.463529
FAM72B	1.022957	1.496401	-0.473445
FAM72D	2.050859	1.548213	0.502646
FAM76B	2.078745	1.884916	0.193829
FAM98B	1.475402	1.27244	0.202961
FANCA	2.076734	1.680492	0.396243
FANCI	1.9127	1.242268	0.670432
FBLN5	0.703827	0.881929	-0.178102
FBRSL1	1.021091	1.114389	-0.093298
FBXL7	0.932982	1.201314	-0.268332
FBXO10	1.592528	1.844196	-0.251667
FBXO43	0.844614	1.353045	-0.508431
FBXO6	0.491203	1.181812	-0.690609
FCER2	1.52917	1.316924	0.212246
FCMR	1.556959	1.160678	0.396281
FDCSP	1.478848	1.42657	0.052279
FGD2	1.820726	1.289587	0.531139
FGD3	1.458714	1.603076	-0.144362
FGD6	1.977547	2.365609	-0.388063
FGFR1	0.908553	0.896386	0.012166
FKBP5	1.819751	1.212506	0.607245
FLNA	1.594975	1.548479	0.046496
FLT3LG	0.799606	1.02234	-0.222734
FMNL2	1.021176	1.005048	0.016128
FNBP1	2.376416	2.224476	0.15194
FOLR2	1.047419	1.434741	-0.387322
FOXM1	1.822827	2.122185	-0.299357
FSBP	1.064825	1.375058	-0.310233
FUOM	1.239516	1.183655	0.055861
FUT7	0.452862	0.85741	-0.404547
FXYD5	1.891607	1.560496	0.331111
FYTTD1	2.009357	1.217487	0.79187
GAB3	0.83054	1.344956	-0.514416
GABBR1	0.977804	0.702043	0.275761
GADD45A	1.401238	0.836844	0.564394
GALNT10	0.886737	0.671015	0.215721
GALNT3	0.762062	1.19201	-0.429947
GBGT1	1.338832	1.14684	0.191992
GBP5	0.631697	1.449554	-0.817856
GCAT	0.926402	1.215174	-0.288772
GCNT2	1.387021	1.287076	0.099946
GCSAM	2.298789	1.705525	0.593263
GEN1	1.893243	1.631075	0.262168
GGH	1.300874	1.572454	-0.27158
GGT7	0.345993	0.549566	-0.203573
GHDC	1.288021	1.483739	-0.195718
GIMAP2	1.135544	1.401808	-0.266264
GINS3	1.499833	1.620002	-0.120169
GINS4	1.28804	1.631014	-0.342974
GNA13	2.347459	1.738461	0.608998
GNB3	1.098095	1.220176	-0.122082
GNG7	1.418023	1.127766	0.290257
GON7	1.641521	1.398921	0.2426
GOT2	2.072993	1.491322	0.58167
GPD1L	1.20702	1.328564	-0.121544
GPER1	1.271802	0.94921	0.322592
GPR143	0.685707	1.305191	-0.619484
GPR160	2.239201	1.550921	0.68828
GPR183	1.300444	1.306097	-0.005653
GPRASP1	0.411091	1.147843	-0.736752
GPSM2	1.532102	1.589985	-0.057883
GPT2	1.518797	1.281548	0.237249
GRASP	0.495026	0.785893	-0.290866
GSAP	1.451904	1.508582	-0.056678
GSDMB	1.106819	1.475855	-0.369035
GTSE1	1.770878	1.433951	0.336927
H1F0	1.310142	0.847944	0.462198
H2AFX	2.311074	1.987636	0.323438
HAUS8	1.79638	2.801957	-1.005577
HDAC7	2.244047	1.818672	0.425375
HELLS	1.471706	1.50926	-0.037554
HELZ2	1.001561	0.67398	0.327581
HES1	0.624437	0.844577	-0.22014
HES6	1.506181	0.854108	0.652073
HIST1H2BH	1.445609	1.266627	0.178983
HIST1H3F	1.062356	1.404102	-0.341746
HIST1H4L	0.951909	1.745424	-0.793514
HIST3H2A	0.95953	1.236319	-0.276789
HJURP	1.833649	1.222026	0.611623
HLA-DQA2	1.861494	1.039072	0.822422
HLA-DQB2	1.584071	1.14275	0.441321
HLTF	1.558659	1.2127	0.345958
HMGA1	2.812601	2.539112	0.273489
HMGB3	1.588972	1.3187	0.270272
HMGN1	2.980589	2.12999	0.850598
HMMR	1.819422	1.654712	0.16471
HOXA3	0.661283	0.939292	-0.278008
HOXA5	0.839189	0.848762	-0.009573
HOXA7	0.83129	0.808815	0.022475
HOXC4	1.252943	1.095021	0.157922
HOXC5	1.252943	0.911775	0.341168
HOXC6	1.252943	1.051229	0.201714
HS2ST1	1.793857	1.64702	0.146837
HSD17B11	1.45553	1.44687	0.00866
HSPA2	1.075964	0.911855	0.164109
HSPB11	2.056729	1.613267	0.443462
HSPH1	2.175434	1.684217	0.491217
HYPK	2.669173	2.572248	0.096925
ICAM2	1.517811	1.543808	-0.025997
ICOSLG	1.504883	0.972925	0.531958
ID2	1.546296	1.096796	0.4495
IFIT2	0.874342	1.222466	-0.348124
IGF2BP3	1.626336	1.569907	0.056429
IL18BP	1.301289	1.685472	-0.384183
IL1RN	0.849046	1.052668	-0.203622
IL27RA	0.833385	1.13337	-0.299985
IL2RB	1.122965	0.80146	0.321506
IL6ST	0.6365	0.765837	-0.129337
ILDR1	1.077826	1.58125	-0.503424
INF2	1.45162	1.288116	0.163503
INTS7	1.349122	1.641607	-0.292485
IRF9	1.733726	1.629154	0.104572
ISG15	1.261018	1.292991	-0.031973
ITGA4	1.360243	1.577475	-0.217232
ITGAE	1.367673	1.725486	-0.357814
JADE3	0.593839	0.950071	-0.356232
JAK3	1.905923	1.880952	0.02497
JMJD7	1.230286	1.264974	-0.034687
JMJD7-PLA2G4B	1.230286	1.264974	-0.034687
JUNB	2.219203	2.436387	-0.217184
KAT2A	1.345134	1.785165	-0.440031
KATNAL1	1.504205	1.632641	-0.128437
KBTBD8	2.059312	1.639386	0.419926
KCNK12	1.288821	1.039573	0.249249
KCNMB4	0.951483	1.201193	-0.24971
KCNN3	1.192516	1.327572	-0.135056
KDM7A	1.078008	1.18957	-0.111562
KIF11	1.992048	1.622041	0.370007
KIF18B	1.638546	1.570734	0.067813
KIF20A	1.711968	1.578759	0.133209
KIF23	1.711477	1.286275	0.425202
KIF3A	1.148792	1.155785	-0.006993
KIFC1	2.179508	1.723707	0.455801
KLF9	0.608934	0.929122	-0.320188
KLHL42	1.387748	1.447629	-0.059881
KLHL6	2.659964	2.181026	0.478938
KNTC1	1.573105	1.557595	0.01551
LACC1	1.127785	1.328848	-0.201063
LAIR1	0.345095	1.063598	-0.718502
LAMC1	0.536757	0.891437	-0.354681
LARGE2	0.757498	1.823641	-1.066143
LBH	2.188732	1.758209	0.430523
LDLRAD4	0.566859	0.681674	-0.114815
LGALS1	1.930437	1.96211	-0.031672
LGALS3	1.347989	1.34167	0.006318
LIMA1	1.428227	1.533729	-0.105502
LIMD1	0.830951	0.921202	-0.090251
LIMS1	1.652124	1.20868	0.443444
LINGO3	0.837807	0.771046	0.066761
LMNB2	1.892703	1.778121	0.114581
LMO2	2.657961	1.584072	1.073889
LNPEP	1.837623	1.719083	0.118539
LOC100128108	0.525642	0.93296	-0.407318
LOC150051	0.689872	1.090005	-0.400133
LOC283710	1.495202	1.913763	-0.418561
LOC645177	1.0659	2.096974	-1.031074
LOC728392	0.82464	0.952128	-0.127488
LOXL2	2.024729	1.192087	0.832643
LRCH3	1.705634	2.475668	-0.770034
LRR1	1.779802	1.581692	0.19811
LRRC32	0.970152	1.532302	-0.562149
LRRC4	1.114723	1.03759	0.077133
LRRK1	1.9953	1.576163	0.419137
LRRK2	0.885978	1.58655	-0.700572
LYPLA1	2.189366	1.830498	0.358868
LYPLAL1	1.847015	1.814772	0.032243
LYZ	1.28601	0.949003	0.337006
MAD2L1	2.003206	1.348722	0.654485
MAML3	1.259711	1.266763	-0.007052
MAN2B1	1.936999	1.903999	0.033
MAN2C1	1.302008	1.803287	-0.501279
MAP3K1	1.495203	1.55623	-0.061028
MAP3K5	0.685364	0.969073	-0.283709
MAP3K7CL	1.804462	1.478547	0.325915
MAP4K1	2.476344	2.014567	0.461777
MAPK11	0.529498	0.867527	-0.338029
MAPK12	1.018845	0.957975	0.06087
MAPKAPK3	0.837008	0.392118	0.44489
MARCH3	0.554035	0.965981	-0.411946
MARCKS	0.706372	0.410961	0.295411
MCM5	2.466537	2.350903	0.115634
MCM7	2.490641	2.187165	0.303476
MCM8	1.479203	1.861003	-0.3818
MCOLN2	1.892789	1.785247	0.107542
MCUB	2.255612	1.93056	0.325052
MED12L	1.032632	0.924023	0.108609
MED22	1.404126	1.951387	-0.547261
MEF2B	2.866613	2.389022	0.477591
METAP2	2.452501	1.782374	0.670128
METRNL	1.596208	1.578491	0.017717
MFGE8	0.925368	1.370344	-0.444976
MGAT3	1.592839	1.559804	0.033035
MGAT5	1.847965	1.799236	0.048729
MGLL	0.880063	1.276402	-0.396339
MIS18BP1	1.798384	1.433965	0.364419
MKI67	2.063764	1.530651	0.533113
MLLT6	1.742275	1.256442	0.485833
MNS1	0.770098	1.329478	-0.55938
MOB1B	1.885113	1.722248	0.162865
MOB3B	0.374829	1.070629	-0.6958
MOB3C	0.833241	1.083154	-0.249913
MORC3	1.245722	1.372699	-0.126977
MPHOSPH9	1.405917	1.880556	-0.474639
MREG	1.241303	1.514394	-0.273091
MRNIP	0.921996	1.426158	-0.504161
MROH1	1.513567	1.336921	0.176646
MSRB2	1.068969	1.085556	-0.016587
MTF2	2.030641	1.820385	0.210256
MTSS1	0.762146	0.691379	0.070767
MUM1	1.135903	1.292867	-0.156964
MX2	1.476205	0.921382	0.554822
MXD3	1.714461	2.056508	-0.342047
MXI1	0.395372	0.681486	-0.286114
MYB	0.806025	1.604802	-0.798777
MYC	1.706807	1.60924	0.097567
MYH11	0.962749	1.017436	-0.054687
MYL6B	1.791598	1.871099	-0.079501
MYO1D	1.288386	1.507857	-0.219471
MYO1E	2.351341	1.964905	0.386435
MYO1F	0.510774	1.114586	-0.603812
MYO7B	0.511591	1.258695	-0.747104
MZT2A	2.116604	1.758609	0.357996
NADK2	1.512499	1.565978	-0.053479
NANS	2.540586	1.604028	0.936557
NAPRT	0.924372	0.806484	0.117888
NCAPD2	2.241611	2.004646	0.236965
NCOA7	1.523634	1.448	0.075634
NCR3	1.514268	1.203899	0.310369
NDC1	2.009923	1.926281	0.083642
NDFIP2	1.123283	1.18284	-0.059557
NDN	0.94252	1.149516	-0.206996
NDRG1	0.511966	0.613661	-0.101694
NDRG4	0.74529	0.940603	-0.195313
NDUFV2	2.264707	1.946367	0.31834
NEK2	1.615961	1.211205	0.404756
NEMP1	1.79537	2.12685	-0.33148
NIN	2.036568	1.938271	0.098297
NINL	0.856253	1.059413	-0.203159
NIPA2	1.679564	2.19461	-0.515046
NKX6-3	0.945916	1.016654	-0.070738
NLK	1.61006	2.001363	-0.391302
NME3	1.277443	1.557613	-0.28017
NMU	0.909433	1.177624	-0.268191
NOD1	0.714662	1.010073	-0.295411
NOTCH1	1.239066	1.257064	-0.017998
NR1D2	0.788821	1.312049	-0.523228
NRIP1	0.948733	1.055834	-0.107101
NRROS	0.393106	1.119321	-0.726215
NSD2	1.997042	1.621216	0.375826
NUF2	1.823332	1.794221	0.029111
NUGGC	2.349467	1.45202	0.897447
NXPH4	0.949106	0.913567	0.035539
OAS2	1.533649	1.244056	0.289594
OAS3	0.381817	0.786735	-0.404918
OR13A1	0.981218	1.130665	-0.149447
OSBPL10	1.971696	1.957082	0.014614
OSBPL9	1.985353	1.781848	0.203505
OSR2	0.737286	0.863905	-0.126619
OVGP1	0.424983	1.091606	-0.666623
P2RX1	0.587241	1.251044	-0.663803
P2RY10	0.991039	1.38376	-0.39272
PACSIN1	0.739367	0.865733	-0.126366
PADI2	0.666324	0.745513	-0.079189
PAFAH1B3	1.620727	1.59715	0.023577
