Gene	Observed	Predicted	Residual
DTYMK	1.823402	1.796399	0.027003
DUSP2	2.356016	1.543478	0.812538
EBF1	1.760712	2.328311	-0.567599
ECEL1	0.769541	0.760082	0.009458
EDEM1	2.331935	2.75846	-0.426525
EEPD1	1.173075	1.434444	-0.261368
EFNB2	0.676098	0.869717	-0.193619
EHD1	2.44872	2.093176	0.355544
EHMT1	2.038343	1.916214	0.122129
ELL3	2.73277	2.250527	0.482243
ELP6	1.790462	1.599984	0.190478
EMC9	1.511693	2.133727	-0.622033
EML4	1.48013	1.260784	0.219346
EML6	2.079995	1.32577	0.754225
ENG	0.772008	1.215203	-0.443195
ENO2	2.030503	1.445246	0.585257
EPB41L2	1.16806	0.907496	0.260564
EPSTI1	1.363878	1.071192	0.292686
ERI1	1.439565	1.653779	-0.214214
ETFRF1	0.826745	1.199293	-0.372548
ETHE1	0.994045	1.098439	-0.104394
EYA3	1.874666	2.431759	-0.557093
FAM111B	1.716916	1.623472	0.093444
FAM177B	0.429581	1.327692	-0.898111
FAM184A	1.075087	1.377239	-0.302152
FAM72A	1.012587	1.525499	-0.512912
FAM72B	1.022957	1.437579	-0.414622
FAM72D	2.050859	1.513895	0.536964
FAM76B	2.078745	1.76206	0.316685
FAM98B	1.475402	1.17172	0.303681
FANCA	2.076734	1.69159	0.385145
FANCI	1.9127	1.132336	0.780364
FBLN5	0.703827	0.865207	-0.161381
FBRSL1	1.021091	1.097217	-0.076126
FBXL7	0.932982	1.209257	-0.276275
FBXO10	1.592528	1.87792	-0.285392
FBXO43	0.844614	1.354441	-0.509827
FBXO6	0.491203	1.179688	-0.688485
FCER2	1.52917	1.208205	0.320965
FCMR	1.556959	1.429102	0.127857
FDCSP	1.478848	1.437184	0.041664
FGD2	1.820726	1.243809	0.576916
FGD3	1.458714	1.613946	-0.155233
FGD6	1.977547	2.406218	-0.428671
FGFR1	0.908553	0.875326	0.033226
FKBP5	1.819751	1.147828	0.671923
FLNA	1.594975	1.560628	0.034347
FLT3LG	0.799606	1.10856	-0.308954
FMNL2	1.021176	0.852691	0.168485
FNBP1	2.376416	2.063234	0.313182
FOLR2	1.047419	1.316665	-0.269246
FOXM1	1.822827	2.094708	-0.271881
FSBP	1.064825	1.469501	-0.404676
FUOM	1.239516	1.308024	-0.068507
FUT7	0.452862	0.835865	-0.383003
FXYD5	1.891607	1.825469	0.066138
FYTTD1	2.009357	1.253703	0.755654
GAB3	0.83054	1.384595	-0.554055
GABBR1	0.977804	0.744753	0.233051
GADD45A	1.401238	0.89331	0.507928
GALNT10	0.886737	0.647666	0.23907
GALNT3	0.762062	1.093792	-0.33173
GBGT1	1.338832	1.093736	0.245096
GBP5	0.631697	1.37126	-0.739563
GCAT	0.926402	1.295662	-0.369261
GCNT2	1.387021	1.53551	-0.148489
GCSAM	2.298789	1.60032	0.698469
GEN1	1.893243	1.558259	0.334984
GGH	1.300874	1.515011	-0.214137
GGT7	0.345993	0.533188	-0.187195
GHDC	1.288021	1.406187	-0.118166
GIMAP2	1.135544	1.327417	-0.191874
GINS3	1.499833	1.742857	-0.243025
GINS4	1.28804	1.502569	-0.214528
GNA13	2.347459	1.706076	0.641383
GNB3	1.098095	1.175058	-0.076963
GNG7	1.418023	1.092446	0.325577
GON7	1.641521	1.30047	0.341051
GOT2	2.072993	1.596368	0.476624
GPD1L	1.20702	1.294545	-0.087525
GPER1	1.271802	1.083108	0.188694
GPR143	0.685707	1.217624	-0.531917
GPR160	2.239201	1.588957	0.650244
GPR183	1.300444	1.41535	-0.114906
GPRASP1	0.411091	1.07596	-0.664869
GPSM2	1.532102	1.652168	-0.120066
GPT2	1.518797	1.27776	0.241036
GRASP	0.495026	0.727163	-0.232137
GSAP	1.451904	1.255123	0.196782
GSDMB	1.106819	1.391665	-0.284846
GTSE1	1.770878	1.668455	0.102423
H1F0	1.310142	0.946913	0.363228
H2AFX	2.311074	2.007378	0.303695
HDAC7	2.244047	1.914726	0.329321
HELLS	1.471706	1.467624	0.004082
HELZ2	1.001561	0.861858	0.139702
HES1	0.624437	0.787466	-0.163029
HES6	1.506181	0.798913	0.707268
HIST1H2BH	1.445609	1.257422	0.188188
HIST1H3F	1.062356	1.363201	-0.300846
HIST1H4L	0.951909	1.699628	-0.747718
HIST3H2A	0.95953	1.307185	-0.347655
HJURP	1.833649	1.142634	0.691015
HLA-DQA2	1.861494	1.10955	0.751945
HLA-DQB2	1.584071	1.10393	0.480141
HLTF	1.558659	1.179865	0.378793
HMGA1	2.812601	2.483851	0.32875
HMGB3	1.588972	1.496321	0.092651
HMGN1	2.980589	2.091459	0.889129
HMMR	1.819422	1.683389	0.136033
HOXA3	0.661283	0.833876	-0.172593
HOXA5	0.839189	0.902445	-0.063256
HOXA7	0.83129	0.737182	0.094108
HOXC4	1.252943	1.116767	0.136176
HOXC5	1.252943	0.922303	0.33064
HOXC6	1.252943	1.058737	0.194206
HS2ST1	1.793857	1.678722	0.115136
HSD17B11	1.45553	1.272344	0.183186
HSPA2	1.075964	1.006683	0.069281
HSPB11	2.056729	1.627208	0.429521
HSPH1	2.175434	1.779431	0.396004
HYPK	2.669173	2.743192	-0.074019
ICAM2	1.517811	1.469075	0.048736
ICOSLG	1.504883	0.865291	0.639592
ID2	1.546296	1.052492	0.493804
IFIT2	0.874342	1.279924	-0.405582
IGF2BP3	1.626336	1.6079	0.018437
IL18BP	1.301289	1.741014	-0.439726
IL1RN	0.849046	1.029297	-0.180251
IL27RA	0.833385	1.201211	-0.367826
IL2RB	1.122965	0.669494	0.453471
IL6ST	0.6365	0.822127	-0.185627
ILDR1	1.077826	1.496908	-0.419082
INF2	1.45162	1.271496	0.180123
INTS7	1.349122	1.622708	-0.273586
IRF9	1.733726	1.773976	-0.04025
ISG15	1.261018	1.305885	-0.044867
ITGA4	1.360243	1.519295	-0.159051
ITGAE	1.367673	1.69609	-0.328417
JADE3	0.593839	0.927187	-0.333348
JAK3	1.905923	2.039872	-0.13395
JMJD7	1.230286	1.290697	-0.06041
JMJD7-PLA2G4B	1.230286	1.290697	-0.06041
JUNB	2.219203	2.589171	-0.369968
KAT2A	1.345134	1.780299	-0.435166
KATNAL1	1.504205	1.584621	-0.080417
KBTBD8	2.059312	1.688957	0.370355
KCNK12	1.288821	1.220426	0.068395
KCNMB4	0.951483	1.310758	-0.359275
KCNN3	1.192516	1.146092	0.046424
KDM7A	1.078008	1.151135	-0.073127
KIF11	1.992048	1.663334	0.328715
KIF18B	1.638546	1.44774	0.190806
KIF20A	1.711968	1.562735	0.149232
KIF23	1.711477	1.221175	0.490303
KIF3A	1.148792	1.152242	-0.00345
KIFC1	2.179508	1.769723	0.409785
KLF9	0.608934	0.854279	-0.245345
KLHL42	1.387748	1.53665	-0.148902
KLHL6	2.659964	2.183989	0.475975
KNTC1	1.573105	1.426409	0.146696
LACC1	1.127785	1.255625	-0.12784
LAIR1	0.345095	0.965125	-0.62003
LAMC1	0.536757	0.788902	-0.252146
LBH	2.188732	1.829544	0.359188
LDLRAD4	0.566859	0.888402	-0.321543
LGALS1	1.930437	2.042928	-0.112491
LGALS3	1.347989	1.555796	-0.207807
LIMA1	1.428227	1.450622	-0.022395
LIMD1	0.830951	0.995995	-0.165044
LIMS1	1.652124	1.301365	0.350759
LINGO3	0.837807	0.631112	0.206695
LMNB2	1.892703	1.711057	0.181646
LNPEP	1.837623	1.733465	0.104158
LOC100128108	0.525642	0.732946	-0.207304
LOC150051	0.689872	1.20015	-0.510279
LOC283710	1.495202	1.984288	-0.489086
LOC728392	0.82464	0.962688	-0.138048
LOXL2	2.024729	1.322852	0.701877
LRCH3	1.705634	2.475497	-0.769863
LRR1	1.779802	1.705042	0.07476
LRRC32	0.970152	1.544716	-0.574563
LRRC4	1.114723	1.087637	0.027086
LRRK1	1.9953	1.663147	0.332153
LRRK2	0.885978	1.430984	-0.545006
LYPLA1	2.189366	1.993404	0.195961
LYPLAL1	1.847015	1.962064	-0.115049
LYZ	1.28601	0.830494	0.455516
MAD2L1	2.003206	1.349157	0.654049
MAML3	1.259711	1.28191	-0.022199
MAN2B1	1.936999	1.946589	-0.00959
MAN2C1	1.302008	1.85311	-0.551103
MAP3K1	1.495203	1.466221	0.028982
MAP3K5	0.685364	0.967089	-0.281725
MAP3K7CL	1.804462	1.354064	0.450398
MAP4K1	2.476344	1.870413	0.605931
MAPK11	0.529498	0.837531	-0.308033
MAPK12	1.018845	0.97907	0.039776
MAPKAPK3	0.837008	0.322455	0.514553
MARCH3	0.554035	0.896768	-0.342733
MARCKS	0.706372	0.415028	0.291344
MCM5	2.466537	2.386473	0.080065
MCM7	2.490641	2.177347	0.313294
MCM8	1.479203	1.832992	-0.353789
MCOLN2	1.892789	1.70448	0.188309
MCUB	2.255612	2.000629	0.254983
MED12L	1.032632	0.736658	0.295974
MED22	1.404126	2.00013	-0.596004
MEF2B	2.866613	2.367013	0.4996
METAP2	2.452501	1.757265	0.695237
METRNL	1.596208	1.588932	0.007276
MFGE8	0.925368	1.374842	-0.449474
MGAT3	1.592839	1.465953	0.126886
MGAT5	1.847965	1.725744	0.12222
MGLL	0.880063	1.333375	-0.453312
MIS18BP1	1.798384	1.434851	0.363532
MKI67	2.063764	1.456434	0.60733
MLLT6	1.742275	1.375004	0.367271
MNS1	0.770098	1.37321	-0.603112
MOB1B	1.885113	1.791037	0.094077
MOB3B	0.374829	0.999461	-0.624632
MOB3C	0.833241	1.047837	-0.214596
MORC3	1.245722	1.40118	-0.155458
MPHOSPH9	1.405917	1.88982	-0.483903
MREG	1.241303	1.479928	-0.238625
MRNIP	0.921996	1.237542	-0.315545
MROH1	1.513567	1.349275	0.164292
MSRB2	1.068969	1.142409	-0.07344
MTF2	2.030641	1.723484	0.307157
MTSS1	0.762146	0.9136	-0.151454
MUM1	1.135903	1.38816	-0.252257
MX2	1.476205	1.070025	0.40618
MXD3	1.714461	2.000432	-0.285971
MXI1	0.395372	0.60516	-0.209788
MYB	0.806025	1.456754	-0.65073
MYC	1.706807	1.557801	0.149006
MYH11	0.962749	0.985974	-0.023225
MYL6B	1.791598	2.050909	-0.259311
MYO1D	1.288386	1.544244	-0.255858
MYO1E	2.351341	1.913673	0.437667
MYO1F	0.510774	1.22436	-0.713586
MYO7B	0.511591	1.117247	-0.605657
MZT2A	2.116604	1.631527	0.485077
NADK2	1.512499	1.747539	-0.235039
NANS	2.540586	1.744911	0.795674
NAPRT	0.924372	0.805331	0.119041
NCAPD2	2.241611	1.8235	0.418111
NCOA7	1.523634	1.387337	0.136297
NCR3	1.514268	1.254089	0.260179
NDC1	2.009923	1.893844	0.116079
NDFIP2	1.123283	1.121475	0.001808
NDN	0.94252	1.117231	-0.174711
NDRG1	0.511966	0.639841	-0.127874
NDRG4	0.74529	0.905985	-0.160694
NDUFV2	2.264707	2.159022	0.105685
NEK2	1.615961	1.206161	0.4098
NEMP1	1.79537	2.226779	-0.431409
NIN	2.036568	2.014789	0.02178
NINL	0.856253	0.867419	-0.011166
NIPA2	1.679564	2.052999	-0.373434
NKX6-3	0.945916	1.103984	-0.158067
NLK	1.61006	1.950621	-0.34056
NME3	1.277443	1.601888	-0.324445
NMU	0.909433	1.254079	-0.344646
NOD1	0.714662	1.006006	-0.291344
NOTCH1	1.239066	1.266654	-0.027588
NR1D2	0.788821	1.108542	-0.319721
NRIP1	0.948733	1.126998	-0.178265
NRROS	0.393106	1.117737	-0.72463
NSD2	1.997042	1.713378	0.283664
NUF2	1.823332	1.728628	0.094704
NUGGC	2.349467	1.594292	0.755175
NXPH4	0.949106	0.844737	0.104369
OAS2	1.533649	1.117395	0.416254
OAS3	0.381817	0.796095	-0.414278
OR13A1	0.981218	1.073519	-0.092301
OSBPL10	1.971696	1.954413	0.017282
OSBPL9	1.985353	1.771948	0.213405
OSR2	0.737286	0.817174	-0.079888
OVGP1	0.424983	0.995669	-0.570686
P2RX1	0.587241	1.281887	-0.694646
P2RY10	0.991039	1.182035	-0.190996
PACSIN1	0.739367	0.963901	-0.224535
PADI2	0.666324	0.76808	-0.101756
PAFAH1B3	1.620727	1.531592	0.089135
